"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.215927200E-2,-8.028149605E-4,3.865957260E-4,-3.198623657E-2,3.199864526E-2
1.715927200E-2,1.184719801E-2,-8.854866028E-3,-7.438087463E-2,7.583718919E-2
2.215927200E-2,1.554560661E-2,-1.545029879E-2,-1.030149460E-1,1.053207326E-1
2.715927200E-2,3.449332714E-2,-4.606330395E-2,-1.486730576E-1,1.594217539E-1
3.215927200E-2,4.891210794E-2,-5.677872896E-2,-1.603431702E-1,1.769919506E-1
3.715927200E-2,8.129984140E-2,-6.685048342E-2,-1.104326248E-1,1.525582380E-1
4.215927200E-2,9.560066462E-2,-7.406628132E-2,-5.573081970E-2,1.331586474E-1
4.715927200E-2,9.171271324E-2,-6.000387669E-2,8.317947388E-3,1.099130349E-1
5.215927200E-2,7.047826052E-2,-4.032731056E-2,5.287742615E-2,9.689942920E-2
5.715927200E-2,6.608617306E-2,-1.759457588E-2,8.872509003E-2,1.120227342E-1
6.215927200E-2,3.127199411E-2,1.301527023E-3,7.958507538E-2,8.551851151E-2
6.715927200E-2,8.507013321E-3,-5.078315735E-4,7.066440582E-2,7.117643865E-2
7.215927200E-2,-1.249635220E-2,1.853197813E-2,3.547477722E-2,4.192914083E-2
7.715927200E-2,-1.873618364E-2,2.645176649E-2,2.179718018E-2,3.906222717E-2
8.215927200E-2,-3.636437654E-2,2.600675821E-2,3.417968750E-3,4.483750511E-2
8.715927200E-2,-3.965383768E-2,2.515655756E-2,1.195335388E-2,4.845783631E-2
9.215927200E-2,-2.667158842E-2,1.530224085E-2,1.129150391E-2,3.275714066E-2
9.715927200E-2,-1.855820417E-2,1.116883755E-2,1.252937317E-2,2.502269103E-2
1.021592720E-1,-4.003596306E-2,-1.235824823E-2,4.827404022E-2,6.392173024E-2
1.071592720E-1,-4.695308208E-2,-1.544421911E-2,3.829765320E-2,6.252860195E-2
1.121592720E-1,-4.622370005E-2,-2.095282078E-2,6.442642212E-2,8.201472436E-2
1.171592720E-1,-4.948854446E-2,-4.205900431E-2,5.653667450E-2,8.610732512E-2
